GM_CODE,GM_NAAM,DM
GM1735,Hof van Twente,ja
GM1740,Neder-Betuwe,nee
GM1742,Rijssen-Holten,nee
GM1771,Geldrop-Mierlo,ja
GM1773,Olst-Wijhe,nee
GM1774,Dinkelland,nee
GM1783,Westland,ja
GM1842,Midden-Delfland,ja
GM1859,Berkelland,nee
GM1876,Bronckhorst,ja
GM1883,Sittard-Geleen,nee
GM1884,Kaag en Braassem,nee
GM1891,Dantumadiel,nee
GM1892,Zuidplas,ja
GM1894,Peel en Maas,nee
GM1895,Oldambt,nee
GM1896,Zwartewaterland,nee
GM1900,Súdwest-Fryslân,nee
GM1901,Bodegraven-Reeuwijk,ja
GM1903,Eijsden-Margraten,nee
GM1904,Stichtse Vecht,nee
GM1908,Menameradiel,nee
GM1911,Hollands Kroon,nee
GM1916,Leidschendam-Voorburg,ja
GM1921,De Fryske Marren,nee
GM1924,Goeree-Overflakkee,ja
GM1926,Pijnacker-Nootdorp,nee
GM1927,Molenwaard,ja
GM1930,Nissewaard,nee
GM1931,Krimpenerwaard,ja
GM1955,Montferland,ja
GM1987,Menterwolde,nee
GM1942,Gooise Meren,nee
GM0385,Edam-Volendam,ja
